A_RowId,CATEGORY,FULL_URL,HOST,URI,TARGET
1150783750,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|chemistry,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|CHEMISTRY,CHEMISTRY
1469272041,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|childstudies,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|CHILDSTUDIES,CHILDSTUDIES
-1878816472,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|cognitivescience,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|COGNITIVESCIENCE,COGNITIVE SCIENCE
-1878816472,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|cognitivescience|#Post_Baccalaureate_Diploma_in_Cognitive_Science,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|COGNITIVESCIENCE,COGNITIVE SCIENCE
-386756113,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|communicationstudies,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|COMMUNICATIONSTUDIES,COMMUNICATIONS
1158333899,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|computerscience,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|COMPUTERSCIENCE,COMPUTER SCIENCE
583014771,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|criminologyandcriminaljustice,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|CRIMINOLOGYANDCRIMINALJUSTICE,CRIMINOLOGY
-1838540999,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|digitalhumanities,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|DIGITALHUMANITIES,DIGITAL HUMANITIES
868067885,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|disabilitystudies,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|DISABILITYSTUDIES,DISABILITY STUDIES
-642449349,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|earthsciences,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|EARTHSCIENCES,EARTH SCIENCES
2025807744,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|economics,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|ECONOMICS,ECONOMICS
2025807744,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|economics|#Post_Baccalaureate_Diploma_in_Economics,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|ECONOMICS,ECONOMICS
-649765131,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|engineering,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|ENGINEERING,ENGINEERING
233597778,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|english,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|ENGLISH,ENGLISH
402995588,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|environmentalscience,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|ENVIRONMENTALSCIENCE,ENVIRONMENTA
900738887,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|environmentalstudies,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|ENVIRONMENTALSTUDIES,ENVIRONMENTAL
1177599422,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|europeanandrussianstudies,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|EUROPEANANDRUSSIANSTUDIES,INTERNATIIONAL
1351134725,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|filmstudies,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|FILMSTUDIES,VISUAL ART
1351134725,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|filmstudies|#Post_Baccalaureate_Diploma_in_Film_Studies,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|FILMSTUDIES,VISUAL ART
-478330935,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|foodscienceandnutrition,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|FOODSCIENCEANDNUTRITION,HEALTH
1286726776,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|french,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|FRENCH,FRENCH
1698535390,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|geography,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|GEOGRAPHY,GEOGRAPHY
1855169580,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|geomatics,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|GEOMATICS,GEOMATICS
694097029,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|gins,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|GINS,GINS
-2063424486,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|globaldevelopment,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|GLOBALDEVELOPMENT,ECONOMICS
-1906825665,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|greekandromanstudies,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|GREEKANDROMANSTUDIES,CLASSICS
-299473463,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms|healthsciences,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS|HEALTHSCIENCES,HEALTH
